2017 NCMTC SS ,,,,,
SUMMARY,,,,,
Running income,"1,247.65",,,,
Running expense,-311.47,,,,
Current balance,936.18,,,,
Current Balance + Opening bal,"2,283.48",,,,
,,,,,
CATEGORY,DATE,,,TYPE,COMMENTS
Account Opening Balance,1/1/2017,Opening Balance,"1,347.30",Opening Bal,Per 2016 Accounts
SS Photo Fundraiser,1/1/2017,SS photo fundraiser (60+10+10),80.00,cash,Verghese John + others
SS Offertory,1/22/2017,SS Offertory,6.3,cash,
SS Offertory,1/29/2017,SS Offertory,17,cash,
Office Supply/Postage,1/29/2017,SS photo fundraiser stationary expense paid to Bobby Mathew,-33.36,ST#5365,Check issued to Bobby Mathew
SS Offertory,2/5/2017,SS Offertory,5.25,cash,
VBS Food Sale,2/5/2017,Balance from VBS 2016 food fundraiser from Regi Philip,5,cash,Balance of collection from 2016 account
SS Offertory,2/12/2017,SS Offertory,17.6,cash,
SS Photo Fundraiser,2/12/2017,SS Photo fundraiser received payment from Meema Anish,10,cash,
SS Offertory,2/19/2017,SS Offertory,6.5,cash,
SS Donation,2/19/2017,SS Donation  - Jebby John,20,cash,
SS Offertory,2/26/2017,SS Offertory,7.5,cash,
SS Offertory,3/5/2017,SS offertory,13,cash,
SS Offertory,3/12/2017,SS Offertory,5.25,cash,
SS Offertory,3/19/2017,SS Offertory,9,cash,
Curriculum Books,3/19/2017,Fine paid by Daisy for lost Foundation book,7,BOA#1062,
Exam Registration,3/26/2017,Exam registration fees handed over for 7 students,35,cash,Handed over $35 to Manu on 03/26
SS Offertory,3/26/2017,SS Offertory,12,cash,
Exam Registration,3/31/2017,Exam Registration paid out and sent to Diocese for 12 students,-60,check,$60 check mailed to Diocese
Office Supply/Postage,4/3/2017,Postage expense to send exam registration fees,-6.65,check,Check issuesd to Viji
SS Offertory,4/2/2017,SS Offertory,7,cash,
SS Offertory,4/9/2017,SS Offertory,12,cash,
Exam Registration,4/2/2017,"Exam registration fees handed over for 3 students (Philip, Abel and Michael)",15,cash,Handed over by Viji $15 on 04/02/17
Exam Registration,4/10/2017,Exam registration fees handed over for 2 students (Amy and Bryan),10,cash,Handed over to Shaji $10 on 04/16/17
SS Offertory,4/23/2017,SS Offertory,8,cash,
SS Offertory,4/30/2017,SS Offertory,13.25,cash,
Easter,5/1/2017,Expense for Easter event - Walmart - Anne Oommen ,-22.78,ST#5396,Check issued to Anne Oommen
Easter,5/1/2017,Expense for Easter event - Jeby John,-39.09,ST#5397,Check issued to Jeby John
Office Supply/Postage,5/9/2017,Postage expense to send Diocese exam answers,-13.6,ST#5409,Part of Check#5409 issued to Viji 
SS Donation,5/21/2017,Donation from Jibu P and Teena (for VBS),50,check,$145 cash and $67 as checks handed over. Total amount of $262
SS Food Sale,5/21/2017,SS Fundraiser (Chicken + Rice) total collection handed over to Shaji,212,cash + checks,
VBS Expense,5/22/2017,Purchase of VBS kit - Concordia Supply - online,-135.99,ST#5409,Part of Check#5409 issued to Viji 
SS Donation,5/28/2017,Donation for VBS during fund raiser event,120,cash + checks,$100 check from Anup Thomas + $20 cash
SS Food Sale,5/28/2017,SS Fundraiser (Smores + Rolls) total collection,93,cash + checks,
SS Donation,6/4/2017,Donation for VBS during fund raiser event on 06/04,43,cash ,$29 from Jibu P + $7 from Teju + $7 from Shibby John
SS Food Sale,6/4/2017,SS Fundraiser (Kappa + Fish curry) total collection ,142,cash + checks,Includes $2 pending from sale on 05/21 paid by Priya D
SS Donation,6/4/2017,Donation for VBS - Roney Daniel,20,check#1578,Donation from Roney Daniel
SS Food Sale,6/11/2017,SS Fundraiser (Cutlets + Cupcakes) total collection,216,cash+checks,Includes $89 from pending payments of prev events
SS Donation,6/11/2017,SS Donation - Anju Verghese,30,check,Donation from Anju Verghese - FifthThirdBank#1016
